code_arc,code_raepa,valeur,definition
00-00,00,Indéterminé,Canalisation composée de tuyaux dont le matériau est inconnu
01-00,01,Acier,Canalisation composée de tuyaux d'acier
02-00,02,Amiante-ciment,Canalisation composée de tuyaux d'amiante-ciment
03-00,99,Béton,Canalisation composée de tuyaux de béton
03-01,03,Béton âme tôle,Canalisation composée de tuyaux de béton âme tôle
03-02,04,Béton armé,Canalisation composée de tuyaux de béton armé
03-03,05,Béton fibré,Canalisation composée de tuyaux de béton fibré
03-04,06,Béton non armé,Canalisation composée de tuyaux de béton non armé
03-99,99,Béton autre,Canalisation composée de tuyaux de béton ne figurant pas dans la liste
04-00,07,Cuivre,Canalisation composée de tuyaux de cuivre
05-00,99,Fibre,Canalisation composée de tuyaux de fibre
05-01,08,Fibre ciment,Canalisation composée de tuyaux de fibre ciment
05-02,09,Fibre de verre,Canalisation composée de tuyaux de fibre de verre
05-03,10,Fibrociment,Canalisation composée de tuyaux de fibrociment
05-99,99,Fibre autre,Canalisation composée de tuyaux de fibre ne figurant pas dans la liste
06-00,99,Fonte,Canalisation composée de tuyaux de fonte
06-01,11,Fonte ductile,Canalisation composée de tuyaux de fonte ductile
06-02,12,Fonte grise,Canalisation composée de tuyaux de fonte grise
06-99,99,Fonte autre,Canalisation composée de tuyaux de fonte ne figurant pas dans la liste
07-00,13,Grès,Canalisation composée de tuyaux de grès
08-00,14,Maçonnerie,Canalisation maçonnée
09-00,15,Meulière,Canalisation construite en pierre meulière
10-00,99,PE,Canalisation composée de tuyaux de polyéthylène
10-10,16,PEBD,Canalisation composée de tuyaux de polyéthylène basse densité
10-20,99,PEHD,Canalisation composée de tuyaux de polyéthylène haute densité
10-21,17,PEHD annelé,Canalisation composée de tuyaux de polyéthylène haute densité annelés
10-22,18,PEHD lisse,Canalisation composée de tuyaux de polyéthylène haute densité lisses
10-99,99,PE autre,Canalisation composée de tuyaux de polyéthylène ne figurant pas dans la liste
11-00,19,Plomb,Canalisation composée de tuyaux de plomb
12-00,99,PP,Canalisation composée de tuyaux de polypropylène
12-01,20,PP annelé,Canalisation composée de tuyaux de polypropylène annelés
12-02,21,PP lisse,Canalisation composée de tuyaux de polypropylène lisses
12-99,99,PP autre,Canalisation composée de tuyaux de polypropylène ne figurant pas dans la liste
13-00,99,PRV,Canalisation composée de polyester renforcé de fibre de verre
13-01,22,PRV A,Canalisation composée de polyester renforcé de fibre de verre (série A)
13-02,23,PRV B,Canalisation composée de polyester renforcé de fibre de verre (série B)
13-99,18,PRV autre,Canalisation composée de polyester renforcé de fibre de verre ne figurant pas dans la liste
14-00,99,PVC,Canalisation composée de tuyaux de polychlorure de vinyle
14-10,24,PVC ancien,Canalisation composée de tuyaux de polychlorure de vinyle posés avant 1980
14-20,25,PVC BO,Canalisation composée de tuyaux de polychlorure de vinyle bi-orienté
14-30,99,PVC U,Canalisation composée de tuyaux de polychlorure de vinyle rigide
14-31,26,PVC U annelé,Canalisation composée de tuyaux de polychlorure de vinyle rigide annelés
14-32,27,PVC U lisse,Canalisation composée de tuyaux de polychlorure de vinyle rigide lisses
14-99,99,PVC autre,Canalisation composée de tuyaux de polychlorure de vinyle ne figurant pas dans la liste
15-00,99,Tôle,Canalisation construite en tôle
15-01,28,Tôle galvanisée,Canalisation construite en tôle galvanisée
15-99,99,Tôle autre,Canalisation construite en tôle ne figurant pas dans la liste
99-00,99,Autre,Canalisation composée de tuyaux dont le matériau ne figure pas dans la liste ci-dessus
